policy,metric,model_a,model_b,wilcoxon_w,p_raw,mean_paired_difference,median_paired_difference,test_status,p_holm
P3,ew_l1_distance,gemma3:1b,llama3.1:8b,59.0,0.2645263671875,0.07235248268971756,0.09705139873852603,tested,0.2645263671875
P3,ew_l1_distance,gemma3:1b,qwen3.5:4b,0.0,0.00019609335453373022,0.707558920369467,0.7107698494766975,tested,0.0011765601272023813
P3,ew_l1_distance,gemma3:270m,llama3.1:8b,10.0,0.0010074365294500856,-0.44093142840387295,-0.4114344811512039,tested,0.0030223095883502565
P3,ew_l1_distance,gemma3:270m,qwen3.5:4b,41.0,0.05251225006808179,0.19427500927587651,0.36058373873715377,tested,0.10502450013616357
P3,ew_l1_distance,llama3.1:8b,qwen3.5:4b,2.0,0.00027595416369927014,0.6352064376797494,0.6808003653598953,tested,0.0013797708184963508
P5,top3_overlap,gemma3:1b,gemma3:270m,12.0,0.01036420469780056,-0.20370370370370366,-0.16666666666666666,tested,0.051821023489002804
P5,top3_overlap,gemma3:1b,llama3.1:8b,0.0,0.15746860409931085,-0.05555555555555555,0.0,tested,0.3149372081986217
P5,top3_overlap,gemma3:1b,qwen3.5:4b,0.0,0.0029475669194870447,-0.1851851851851852,-0.16666666666666666,tested,0.01768540151692227
P5,top3_overlap,gemma3:270m,llama3.1:8b,25.0,0.07359835838070179,0.14814814814814814,0.0,tested,0.2207950751421054
P5,top3_overlap,gemma3:270m,qwen3.5:4b,74.0,0.9640954216221704,0.018518518518518504,0.0,tested,0.9640954216221704
P5,top3_overlap,llama3.1:8b,qwen3.5:4b,25.0,0.048918329921728704,-0.12962962962962965,0.0,tested,0.19567331968691482
P5,allocation_l1_to_reference,gemma3:1b,gemma3:270m,19.0,0.0023345947265625,0.23531577991991107,0.21954299214567724,tested,0.0116729736328125
P5,allocation_l1_to_reference,gemma3:1b,llama3.1:8b,22.0,0.00400543212890625,0.17912852919426087,0.1034426047057147,tested,0.016021728515625
P5,allocation_l1_to_reference,gemma3:1b,qwen3.5:4b,6.0,0.0001068115234375,0.24815564603937007,0.24591272576470613,tested,0.000640869140625
P5,allocation_l1_to_reference,gemma3:270m,llama3.1:8b,57.0,0.22875213623046875,-0.056187250725650194,-0.11122516158119394,tested,0.6862564086914062
P5,allocation_l1_to_reference,gemma3:270m,qwen3.5:4b,79.0,0.7987060546875,0.012839866119459007,-0.01596815237395255,tested,1.0
P5,allocation_l1_to_reference,llama3.1:8b,qwen3.5:4b,71.0,0.550872802734375,0.06902711684510919,0.004245754207793162,tested,1.0
P5,ew_l1_distance,gemma3:1b,gemma3:270m,76.0,0.6790371143852009,0.024013030845327837,0.09209183915014202,tested,1.0
P5,ew_l1_distance,gemma3:1b,llama3.1:8b,64.0,0.3692169189453125,0.06845270870515935,0.0011752707721190414,tested,1.0
P5,ew_l1_distance,gemma3:1b,qwen3.5:4b,1.0,1.52587890625e-05,0.3372547654906212,0.3705234721329476,tested,9.1552734375e-05
P5,ew_l1_distance,gemma3:270m,llama3.1:8b,78.0,0.7660293579101562,0.04443967785983153,-0.033259960635884045,tested,1.0
P5,ew_l1_distance,gemma3:270m,qwen3.5:4b,22.0,0.00400543212890625,0.31324173464529337,0.3116360189455258,tested,0.016021728515625
P5,ew_l1_distance,llama3.1:8b,qwen3.5:4b,20.0,0.0028076171875,0.2688020567854619,0.33300624667736406,tested,0.0140380859375
P6,allocation_l1_to_reference,gemma3:1b,gemma3:270m,75.0,0.6705245971679688,-0.058256082225905864,0.0023277587830695667,tested,1.0
P6,allocation_l1_to_reference,gemma3:1b,llama3.1:8b,35.0,0.02684783935546875,0.18560770219038947,0.16513222129182953,tested,0.08054351806640625
P6,allocation_l1_to_reference,gemma3:1b,qwen3.5:4b,27.0,0.00896453857421875,0.22358800780809135,0.22110040683419996,tested,0.035858154296875
P6,allocation_l1_to_reference,gemma3:270m,llama3.1:8b,3.0,3.814697265625e-05,0.24386378441629533,0.1903802108703599,tested,0.0002288818359375
P6,allocation_l1_to_reference,gemma3:270m,qwen3.5:4b,10.0,0.00032806396484375,0.2818440900339973,0.28733629561919555,tested,0.00164031982421875
P6,allocation_l1_to_reference,llama3.1:8b,qwen3.5:4b,71.0,0.550872802734375,0.03798030561770189,0.03134386779350884,tested,1.0
P6,ew_l1_distance,gemma3:1b,gemma3:270m,31.0,0.018658876813726813,0.22992012750243074,0.09965219999025882,tested,0.09329438406863406
P6,ew_l1_distance,gemma3:1b,llama3.1:8b,59.0,0.2645263671875,0.010718584190601264,0.09414198378738381,tested,0.529052734375
P6,ew_l1_distance,gemma3:1b,qwen3.5:4b,34.0,0.02367401123046875,0.25890725866265774,0.3489655296861721,tested,0.094696044921875
P6,ew_l1_distance,gemma3:270m,llama3.1:8b,41.0,0.05385589599609375,-0.21920154331182948,-0.07850489625391488,tested,0.16156768798828125
P6,ew_l1_distance,gemma3:270m,qwen3.5:4b,79.0,0.7987060546875,0.028987131160226998,0.20872133189682063,tested,0.7987060546875
P6,ew_l1_distance,llama3.1:8b,qwen3.5:4b,6.0,0.0001068115234375,0.24818867447205653,0.16104030901632116,tested,0.000640869140625
