policy,metric,model,n,mean,sd,median,ci_low,ci_high
P2,ew_l1_distance,llama3.1:8b,18,1.0167174243160757,0.20798736537381432,1.0104888076747371,0.9280410008022877,1.1112617826554518
P2,ew_l1_distance,qwen3.5:4b,18,0.28431995721828307,0.013305026715898212,0.2811839323467232,0.2811839323467231,0.29059200696140297
P3,raw_fidelity,gemma3:1b,18,0.0,0.0,0.0,0.0,0.0
P3,raw_fidelity,gemma3:270m,18,0.05555555555555555,0.23570226039551584,0.0,0.0,0.16666666666666666
P3,raw_fidelity,llama3.1:8b,18,0.0,0.0,0.0,0.0,0.0
P3,raw_fidelity,qwen3.5:4b,18,0.05555555555555555,0.23570226039551584,0.0,0.0,0.16666666666666666
P3,projected_fidelity,gemma3:1b,18,0.0,0.0,0.0,0.0,0.0
P3,projected_fidelity,gemma3:270m,18,0.05555555555555555,0.23570226039551584,0.0,0.0,0.16666666666666666
P3,projected_fidelity,llama3.1:8b,18,0.0,0.0,0.0,0.0,0.0
P3,projected_fidelity,qwen3.5:4b,18,0.05555555555555555,0.23570226039551584,0.0,0.0,0.16666666666666666
P3,top3_overlap,gemma3:1b,18,0.5925925925925924,0.14259754398216617,0.6666666666666666,0.5185185185185186,0.648148148148148
P3,top3_overlap,gemma3:270m,18,0.35185185185185186,0.29086803202688405,0.3333333333333333,0.24027777777777778,0.48148148148148145
P3,top3_overlap,llama3.1:8b,18,0.5925925925925924,0.14259754398216617,0.6666666666666666,0.5185185185185186,0.648148148148148
P3,top3_overlap,qwen3.5:4b,18,0.5925925925925926,0.24402816604698654,0.6666666666666666,0.48148148148148145,0.7037037037037036
P3,allocation_l1_to_reference,gemma3:1b,18,1.4251714774762603,0.10707989428665811,1.4321044546850996,1.3730742331627193,1.470370478144905
P3,allocation_l1_to_reference,gemma3:270m,18,1.2046463493479596,0.1383399258179235,1.1345699066945363,1.1468971487839024,1.2686087642610933
P3,allocation_l1_to_reference,llama3.1:8b,18,1.2597738838112198,0.16225782216018741,1.1619047619047618,1.1926515921767857,1.333134893685627
P3,allocation_l1_to_reference,qwen3.5:4b,18,1.1285893172371284,0.021399858964652442,1.122480620155038,1.119435968220858,1.138504249602642
P3,projection_l1,gemma3:1b,18,1.4531923118547259e-16,1.3017406140535904e-16,8.153200337090992e-17,9.200027651352685e-17,2.0524097708785526e-16
P3,projection_l1,gemma3:270m,18,1.7220744506311275e-16,1.2913623505103045e-16,1.2771901591878606e-16,1.1444386381851662e-16,2.3279206012706267e-16
P3,projection_l1,llama3.1:8b,18,0.04648416532474518,0.18825108267549628,1.8540534775859927e-16,1.3800630635501343e-16,0.13741277509393465
P3,projection_l1,qwen3.5:4b,18,2.2589954598275756e-16,1.613633548111402e-16,2.914335439641036e-16,1.5091612373366006e-16,2.943295684337204e-16
P3,ew_l1_distance,gemma3:1b,18,1.0262288050265447,0.09936043341386934,0.9920529607359276,0.9907842333624003,1.0746196966095245
P3,ew_l1_distance,gemma3:270m,18,0.5129448939329543,0.4004507984178459,0.6408223344162197,0.3334353755356348,0.6927772260588628
P3,ew_l1_distance,llama3.1:8b,18,0.9538763223368273,0.2218524184600013,0.9610389610389612,0.8559249980212084,1.0546079424413406
P3,ew_l1_distance,qwen3.5:4b,18,0.3186698846570778,0.1592069590571028,0.2811839323467232,0.2563299713773758,0.4010475227847412
P4,raw_fidelity,gemma3:1b,18,1.0,0.0,1.0,1.0,1.0
P4,raw_fidelity,gemma3:270m,18,1.0,0.0,1.0,1.0,1.0
P4,raw_fidelity,llama3.1:8b,18,1.0,0.0,1.0,1.0,1.0
P4,raw_fidelity,qwen3.5:4b,18,1.0,0.0,1.0,1.0,1.0
P4,projected_fidelity,gemma3:1b,18,1.0,0.0,1.0,1.0,1.0
P4,projected_fidelity,gemma3:270m,18,1.0,0.0,1.0,1.0,1.0
P4,projected_fidelity,llama3.1:8b,18,1.0,0.0,1.0,1.0,1.0
P4,projected_fidelity,qwen3.5:4b,18,1.0,0.0,1.0,1.0,1.0
P4,top3_overlap,gemma3:1b,18,1.0,0.0,1.0,1.0,1.0
P4,top3_overlap,gemma3:270m,18,1.0,0.0,1.0,1.0,1.0
P4,top3_overlap,llama3.1:8b,18,1.0,0.0,1.0,1.0,1.0
P4,top3_overlap,qwen3.5:4b,18,1.0,0.0,1.0,1.0,1.0
P4,allocation_l1_to_reference,gemma3:1b,18,0.0,0.0,0.0,0.0,0.0
P4,allocation_l1_to_reference,gemma3:270m,18,0.0,0.0,0.0,0.0,0.0
P4,allocation_l1_to_reference,llama3.1:8b,18,0.0,0.0,0.0,0.0,0.0
P4,allocation_l1_to_reference,qwen3.5:4b,18,0.0,0.0,0.0,0.0,0.0
P4,projection_l1,gemma3:1b,18,3.05311331771918e-16,0.0,3.05311331771918e-16,3.05311331771918e-16,3.05311331771918e-16
P4,projection_l1,gemma3:270m,18,3.05311331771918e-16,0.0,3.05311331771918e-16,3.05311331771918e-16,3.05311331771918e-16
P4,projection_l1,llama3.1:8b,18,3.05311331771918e-16,0.0,3.05311331771918e-16,3.05311331771918e-16,3.05311331771918e-16
P4,projection_l1,qwen3.5:4b,18,3.05311331771918e-16,0.0,3.05311331771918e-16,3.05311331771918e-16,3.05311331771918e-16
P4,ew_l1_distance,gemma3:1b,18,3.05311331771918e-16,0.0,3.05311331771918e-16,3.05311331771918e-16,3.05311331771918e-16
P4,ew_l1_distance,gemma3:270m,18,3.05311331771918e-16,0.0,3.05311331771918e-16,3.05311331771918e-16,3.05311331771918e-16
P4,ew_l1_distance,llama3.1:8b,18,3.05311331771918e-16,0.0,3.05311331771918e-16,3.05311331771918e-16,3.05311331771918e-16
P4,ew_l1_distance,qwen3.5:4b,18,3.05311331771918e-16,0.0,3.05311331771918e-16,3.05311331771918e-16,3.05311331771918e-16
P5,raw_fidelity,gemma3:1b,18,0.0,0.0,0.0,0.0,0.0
P5,raw_fidelity,gemma3:270m,18,0.05555555555555555,0.23570226039551584,0.0,0.0,0.16666666666666666
P5,raw_fidelity,llama3.1:8b,18,0.05555555555555555,0.23570226039551584,0.0,0.0,0.16666666666666666
P5,raw_fidelity,qwen3.5:4b,18,0.05555555555555555,0.23570226039551584,0.0,0.0,0.16666666666666666
P5,projected_fidelity,gemma3:1b,18,0.0,0.0,0.0,0.0,0.0
P5,projected_fidelity,gemma3:270m,18,0.05555555555555555,0.23570226039551584,0.0,0.0,0.16666666666666666
P5,projected_fidelity,llama3.1:8b,18,0.05555555555555555,0.23570226039551584,0.0,0.0,0.16666666666666666
P5,projected_fidelity,qwen3.5:4b,18,0.05555555555555555,0.23570226039551584,0.0,0.0,0.16666666666666666
P5,top3_overlap,gemma3:1b,18,0.12962962962962965,0.23260077972907509,0.0,0.037037037037037035,0.24074074074074073
P5,top3_overlap,gemma3:270m,18,0.3333333333333333,0.280056016805602,0.3333333333333333,0.2037037037037037,0.4629629629629629
P5,top3_overlap,llama3.1:8b,18,0.18518518518518517,0.28519508796433235,0.0,0.07407407407407407,0.33333333333333326
P5,top3_overlap,qwen3.5:4b,18,0.31481481481481477,0.31253177035307794,0.3333333333333333,0.16666666666666666,0.4629629629629629
P5,allocation_l1_to_reference,gemma3:1b,18,1.294312679129355,0.37873976580675356,1.1380213486280981,1.1290916153435786,1.4686933060173624
P5,allocation_l1_to_reference,gemma3:270m,18,1.0589968992094443,0.48728976151881825,0.9026767139218768,0.8501454822388348,1.289729890534777
P5,allocation_l1_to_reference,llama3.1:8b,18,1.1151841499350943,0.38527600390128475,1.0771087689525798,0.9493047869157057,1.2918763079883009
P5,allocation_l1_to_reference,qwen3.5:4b,18,1.0461570330899852,0.35655798812224726,0.9190888959882505,0.8863705016113336,1.2035894590491762
P5,projection_l1,gemma3:1b,18,1.333508438703141e-16,8.06106060603041e-17,1.0755285551056204e-16,1.0113317398036731e-16,1.736673534050925e-16
P5,projection_l1,gemma3:270m,18,1.2550091897424552e-16,1.0184516961294768e-16,8.196568423990414e-17,8.126490564820483e-17,1.7251463567864407e-16
P5,projection_l1,llama3.1:8b,18,1.3347432245106912e-16,8.30602936890261e-17,1.1449174941446927e-16,9.833623354262385e-17,1.7119409249092717e-16
P5,projection_l1,qwen3.5:4b,18,1.0119220276531333e-16,5.600086811608552e-17,9.454242944073599e-17,7.786860469698869e-17,1.2649025345664202e-16
P5,ew_l1_distance,gemma3:1b,18,0.9771946824543805,0.04636248685819707,0.9771260997067452,0.9575726856444666,0.9985631432286214
P5,ew_l1_distance,gemma3:270m,18,0.9531816516090529,0.3929309885375696,0.9316877243526492,0.7712205245161454,1.1241584084698393
P5,ew_l1_distance,llama3.1:8b,18,0.9087419737492213,0.23433626321365625,0.9860575814097012,0.7992208499286033,1.0132951660131526
P5,ew_l1_distance,qwen3.5:4b,18,0.6399399169637594,0.16487964237387442,0.5995795954217777,0.5727174606362354,0.7228329098339006
