experiment,outcome,term,fit_status,model_family,formula,coefficient,odds_ratio,se,p_value,ci_low,ci_high,n,clusters,excluded_constant_cells
policy_complexity,projected_fidelity>=0.5,C(complexity_level)[T.L4],ok,binomial_logit,success ~ C(model_id) + C(complexity_level),-0.3075348769092128,0.7352572236011768,0.2155766756131732,0.15370433311462608,-0.7300573970179064,0.11498764319948085,270,18,L1
policy_complexity,projected_fidelity>=0.5,C(complexity_level)[T.L5],ok,binomial_logit,success ~ C(model_id) + C(complexity_level),-0.7314542535531277,0.4812086815655805,0.6432397133909689,0.2554793449040368,-1.9921809252252933,0.529272418119038,270,18,L1
policy_complexity,projected_fidelity>=0.5,C(complexity_level)[T.L6],ok,binomial_logit,success ~ C(model_id) + C(complexity_level),-0.30753487690921294,0.7352572236011767,0.650089356307843,0.6361664160355691,-1.581686602005412,0.9666168481869859,270,18,L1
constraint_conflict_stress,projected_fidelity>=0.5,Intercept,ok,binomial_logit,success ~ C(model_id) + C(conflict_type),-1.6999763592369288,0.1826878428816938,0.5705546760318104,0.002887048569848618,-2.818242975470196,-0.581709743003662,1188,18,
constraint_conflict_stress,projected_fidelity>=0.5,C(model_id)[T.gemma3:270m],ok,binomial_logit,success ~ C(model_id) + C(conflict_type),-0.6544928162236365,0.5197055819946884,0.4247628408875078,0.12335502062717438,-1.4870126863340694,0.1780270538867963,1188,18,
constraint_conflict_stress,projected_fidelity>=0.5,C(model_id)[T.llama3.1:8b],ok,binomial_logit,success ~ C(model_id) + C(conflict_type),-0.05791453548063338,0.9437305994724011,0.4220312014180998,0.8908505087260176,-0.8850804906122784,0.7692514196510116,1188,18,
constraint_conflict_stress,projected_fidelity>=0.5,C(conflict_type)[T.budget_conflict],ok,binomial_logit,success ~ C(model_id) + C(conflict_type),-0.2559970807744875,0.7741442286905326,0.27798380824543584,0.3570992731329261,-0.8008353332208302,0.28884117167185525,1188,18,
constraint_conflict_stress,projected_fidelity>=0.5,C(conflict_type)[T.cap_aligned_60],ok,binomial_logit,success ~ C(model_id) + C(conflict_type),-0.35318450182307004,0.7024475785616685,0.21400381775265376,0.09886821809895434,-0.7726242771723448,0.06625527352620475,1188,18,
constraint_conflict_stress,projected_fidelity>=0.5,C(conflict_type)[T.cap_conflict],ok,binomial_logit,success ~ C(model_id) + C(conflict_type),-0.35318450182307,0.7024475785616686,0.22434722192809198,0.11542359943034032,-0.7928969768337449,0.08652797318760497,1188,18,
constraint_conflict_stress,projected_fidelity>=0.5,C(conflict_type)[T.cap_mild_conflict_70],ok,binomial_logit,success ~ C(model_id) + C(conflict_type),-0.4580884128635843,0.6324915533458254,0.2792177949698519,0.10087772366323365,-1.005345234847183,0.08916840912001439,1188,18,
