strategy,JSON_valid_rate,Repair_rate,Parse_fail_rate,Avg_projection_L1,Avg_projection_L2,Cap_clip_freq,Turnover_clip_freq,Avg_entropy,Avg_herfindahl,Equal_collapse_rate,Neg_weight_per_step,Over_cap_per_step,Hallucinated_ticker_per_call,Missing_asset_per_call,Invalid_weight_per_call,Negative_weight_per_call,Equal_fallback_rate,Avg_latency_sec,n_calls,n_steps,strategy_key,fold
LLMStrategy,1.0,0.0,0.0,1.4400683027001752e-16,7.036866353774787e-17,0.0,0.0,1.797988214222001,0.29153577215019305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9716426203344275,18,70,NLPI[gemma3:270m|P1],3
LLMStrategy,1.0,0.0,0.0,0.0008441712702687204,0.0004320184208213486,0.32857142857142857,0.0,1.8936199812986092,0.366656189825798,0.0,0.0,0.32857142857142857,0.0,0.0,0.0,0.0,0.0,1.9428977036053159,18,70,NLPI[gemma3:270m|P2],3
LLMStrategy,1.0,0.0,0.0,5.501551595240731e-17,1.2301843348680684e-17,0.0,0.0,1.7989697488577516,0.2912462476958024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95838541439217,18,70,NLPI[gemma3:270m|P3],3
LLMStrategy,1.0,0.0,0.0,8.633966557575994e-17,1.8634965568198292e-17,0.0,0.0,3.0908619653592915,0.04547096325479435,0.7571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0847306459375736,18,70,NLPI[gemma3:270m|P4],3
LLMStrategy,1.0,0.0,0.0,8.633966557575994e-17,1.8634965568198292e-17,0.0,0.0,3.0908619653592915,0.04547096325479435,0.7571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.109331958270761,18,70,NLPI[gemma3:270m|P5],3
LLMStrategy,1.0,0.0,0.0,1.4400683027001752e-16,7.036866353774787e-17,0.0,0.0,1.797988214222001,0.29153577215019305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.913338669111706,18,70,NLPI[gemma3:1b|P1],3
LLMStrategy,1.0,0.0,0.0,0.0008441712702687204,0.0004320184208213486,0.32857142857142857,0.0,1.8936199812986092,0.366656189825798,0.0,0.0,0.32857142857142857,0.0,0.0,0.0,0.0,0.0,4.859293555611253,18,70,NLPI[gemma3:1b|P2],3
LLMStrategy,1.0,0.0,0.0,8.580008580014848e-05,4.3909593798310275e-05,0.07142857142857142,0.11428571428571428,1.8782892465407157,0.26374168157113276,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,4.892167233836113,18,70,NLPI[gemma3:1b|P3],3
LLMStrategy,1.0,0.0,0.0,8.633966557575994e-17,1.8634965568198292e-17,0.0,0.0,3.0908619653592915,0.04547096325479435,0.7571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.17964491877582,18,70,NLPI[gemma3:1b|P4],3
LLMStrategy,1.0,0.0,0.0,8.633966557575994e-17,1.8634965568198292e-17,0.0,0.0,3.0908619653592915,0.04547096325479435,0.7571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2369481387771275,18,70,NLPI[gemma3:1b|P5],3
EqStrategy,,,,1.2903673855919789e-16,2.775606751348211e-17,0.0,0.0,3.0905476159252276,0.04550024342737873,0.6730769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,52,EQUAL,4
RiskParityStrategy,,,,6.32678433452684e-17,1.5569027734362e-17,0.0,0.0,2.952858004976522,0.05886908313264772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,70,RiskParity,4
LWMVPStrategy,,,,0.14147523609923982,0.0842722376933854,0.34285714285714286,0.11428571428571428,1.7197603575460707,0.3815555055745606,0.0,0.0,0.34285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0,70,MVP,4
Momentum6mStrategy,,,,4.3770790563489723e-17,1.1958266844075785e-17,0.0,0.21428571428571427,2.4653777203410874,0.08710687340950722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,70,MOM6,4
