Fold,Strategy,Sharpe,Sortino,CAGR,Vol,MDD,TO
1,NLPI[gemma3:1b|P2],0.5463484947802639,0.8683167366137832,0.01901495778274187,0.03563966410843237,-0.0412131902283035,0.003811701229321022
1,NLPI[gemma3:1b|P3],0.24612915916116984,0.4202558163552058,0.008239814910908194,0.03596521950498308,-0.05302261495234262,0.004817272533031536
1,NLPI[gemma3:1b|P4],0.565295845665252,0.9000507248424117,0.04579424324684367,0.08571272341889516,-0.09636187384474437,0.006640957561434716
1,NLPI[gemma3:1b|P5],0.565295845665252,0.9000507248424117,0.04579424324684367,0.08571272341889516,-0.09636187384474437,0.006640957561434716
2,EQUAL,0.4108514635669238,0.6814939228668683,0.024908174621235624,0.06502783552263366,-0.11200996496637661,0.005588226426288644
2,RiskParity,0.5275159048301941,0.85866867827064,0.02121163719142638,0.04141606137342122,-0.07438587251154061,0.005951708879170891
2,MVP,0.536667081510919,0.8308652672084658,0.007385192415776176,0.013890474716277168,-0.0203101818187722,0.006297182594595497
2,MOM6,0.3757236538711691,0.5946298967508757,0.025420527716247365,0.07412933598382433,-0.10430900120310782,0.010192075972986757
2,SHARPE,0.3453056259319752,0.5491106475028605,0.023108806775464785,0.07411905352193993,-0.10975416998326792,0.010240161624735051
2,CODED_P1,0.3269092435569526,0.5178336609007115,0.028710013521723088,0.10273674391623622,-0.1263834390766706,0.01029112553562069
2,CODED_P2,0.4004134758961167,0.6633087900884308,0.010595309619975568,0.027248373009657264,-0.048278459228207504,0.003177206532217915
2,CODED_P3,0.23347027666989076,0.39480660331398626,0.017046350138886224,0.0895431501587398,-0.18331550365430338,0.01175266500521948
2,CODED_P4,0.4108514635669238,0.6814939228668683,0.024908174621235624,0.06502783552263366,-0.11200996496637661,0.005588226426288644
2,CODED_P5,0.2759328406642426,0.4468072551138251,0.02066411524267986,0.08822841784524155,-0.14152744407297324,0.010365375449883764
2,NLPI[llama3.1:8b|P1],0.42740028909600297,0.6915218247491068,0.04107966246484529,0.10779280307822534,-0.13324024008614754,0.009223093046864991
2,NLPI[llama3.1:8b|P2],0.2153416446801685,0.3548135393702571,0.005316447020822457,0.026217421039945763,-0.05664607955811418,0.005361501636914167
2,NLPI[llama3.1:8b|P3],-0.7117594572614138,-1.1791747525278962,-0.08006325694156846,0.10890228385270996,-0.3969001498111231,0.00503831786000897
2,NLPI[llama3.1:8b|P4],0.4108514635669238,0.6814939228668683,0.024908174621235624,0.06502783552263366,-0.11200996496637661,0.005588226426288644
2,NLPI[llama3.1:8b|P5],0.4108514635669238,0.6814939228668683,0.024908174621235624,0.06502783552263366,-0.11200996496637661,0.005588226426288644
2,NLPI[gemma3:270m|P1],0.7379409476306481,1.1778029081872032,0.05768696774001403,0.0803895624386155,-0.11012453669034061,0.004823425795940229
2,NLPI[gemma3:270m|P2],0.4004134758961167,0.6633087900884308,0.010595309619975568,0.027248373009657264,-0.048278459228207504,0.003177206532217915
2,NLPI[gemma3:270m|P3],0.0319369980109514,0.05405908738223049,-0.0016127130359591124,0.09723859266692074,-0.15556859021858838,0.004851925048605746
2,NLPI[gemma3:270m|P4],0.4108514635669238,0.6814939228668683,0.024908174621235624,0.06502783552263366,-0.11200996496637661,0.005588226426288644
2,NLPI[gemma3:270m|P5],0.4108514635669238,0.6814939228668683,0.024908174621235624,0.06502783552263366,-0.11200996496637661,0.005588226426288644
2,NLPI[gemma3:1b|P1],0.9811690793444875,1.4820900083413024,0.08291908811745641,0.08487841352097152,-0.11545321452272383,0.005597278186767656
2,NLPI[gemma3:1b|P2],0.4004134758961167,0.6633087900884308,0.010595309619975568,0.027248373009657264,-0.048278459228207504,0.003177206532217915
2,NLPI[gemma3:1b|P3],-0.10145971730980963,-0.168187612511951,-0.0239154212328736,0.14087758774787593,-0.23121316253491808,0.0059593033457945544
2,NLPI[gemma3:1b|P4],0.4108514635669238,0.6814939228668683,0.024908174621235624,0.06502783552263366,-0.11200996496637661,0.005588226426288644
2,NLPI[gemma3:1b|P5],0.4108514635669238,0.6814939228668683,0.024908174621235624,0.06502783552263366,-0.11200996496637661,0.005588226426288644
3,EQUAL,1.3749872081232528,2.2320038034977165,0.07749730485822082,0.05540859848819675,-0.09129939985587121,0.004714381471045442
3,RiskParity,1.7476546632435068,2.8791581994581334,0.062088822825399514,0.03481831345172928,-0.05029718347752066,0.005121187224783073
3,MVP,1.9187127061779625,3.1607529027653776,0.029209144382747798,0.015065139962673613,-0.017185118103512642,0.006247105721634902
3,MOM6,1.0214166265680278,1.569294807353226,0.08331729435054003,0.08162667030997081,-0.14746752507061534,0.009145719841118317
3,SHARPE,0.9231401251675768,1.3696192847334359,0.05888379312835523,0.0642236163123956,-0.09917657596764207,0.009081734622778878
3,CODED_P1,0.7039552596921712,1.0909524970645297,0.06941061537445137,0.10285985113042329,-0.18115187585771397,0.009699200391504957
3,CODED_P2,1.7359936926652948,2.858875184537663,0.04096684888089208,0.023285775570594663,-0.03032561561420366,0.002693101266033094
3,CODED_P3,0.9760579439020232,1.675250046189296,0.07991271010334877,0.08223795591058619,-0.09314255184520315,0.01077044844836249
3,CODED_P4,1.3749872081232528,2.2320038034977165,0.07749730485822082,0.05540859848819675,-0.09129939985587121,0.004714381471045442
3,CODED_P5,1.1694468199552095,1.7557703234877013,0.06684917207021468,0.056717731906136395,-0.08256598434522755,0.009174546162251478
3,NLPI[llama3.1:8b|P1],0.7521077463071207,1.1912167964179974,0.07772235652346171,0.10717268139211165,-0.18788232806993976,0.005860304269067399
